Product,Month,Season
Kites,January,Winter
Sesame Seed Sweets (Til Gud),January,Winter
Sugarcane,January,Winter
Pongal Pot (Brass/Clay),January,Winter
Indian Flags,January,Winter
Tricolor Clothing,January,Winter
Patriotic Merchandise,January,Winter
Popcorn & Rewari,January,Winter
Room Heaters,January,Winter
Geysers & Water Heaters,January,Winter
Thermal Wear,January,Winter
Moisturizers & Cold Creams,January,Winter
Woolen Sweaters & Cardigans,January,Winter
Jackets & Coats,January,Winter
Winter Boots,January,Winter
Travel Bags & Luggage,January,Winter
Yellow Sarees,February,Winter
Yellow Kurtas,February,Winter
Books and Stationery,February,Winter
Musical Instruments (Guitars & Keyboards),February,Winter
Goddess Saraswati Idols,February,Winter
Flowers (Roses Lilies),February,Winter
Chocolates & Gift Hampers,February,Winter
Jewelry (Pendants Rings),February,Winter
Perfumes,February,Winter
Couple T-shirts,February,Winter
Smartwatches,February,Winter
Teddy Bears,February,Winter
Greeting Cards,February,Winter
Scented Candles,February,Winter
Wedding Lehengas,February,Winter
Sherwanis for Grooms,February,Winter
Gift Envelopes (Shagun),February,Winter
Herbal Gulal,March,Spring
Water Guns (Pichkaris),March,Spring
Water Balloons,March,Spring
White Kurtas,March,Spring
Waterproof Phone Covers,March,Spring
Skincare Products (Sunscreen Moisturizers),March,Spring
Gujiya Moulds,March,Spring
Thandai Mix,March,Spring
Pooja Essentials (Incense Lamps),March,Spring
Fasting Foods (Sabudana Nuts),March,Spring
Rudraksha Beads,March,Spring
Lord Shiva Idols,March,Spring
Bhang Making Ingredients,March,Spring
Puran Poli Mix,March,Spring
Gudi (Bamboo Stick with Kalash),March,Spring
Mango Leaves & Neem Leaves,March,Spring
Spring Cleaning Supplies,March,Spring
Gardening Tools & Seeds,March,Spring
Air Conditioners,March,Spring
New Ethnic Wear,April,Spring
Sweets & Mithai Boxes,April,Spring
Home Decor (Wall Hangings Torans),April,Spring
Kitchen Appliances (Mixer Grinders),April,Spring
Gold Coins,April,Spring
Easter Eggs,April,Spring
Baking Supplies,April,Spring
Lord Ram Idols,April,Spring
Mekhela Chador (Assamese Attire),April,Spring
Assamese Gamosa,April,Spring
Pitha Making Tools,April,Spring
Air Coolers,April,Spring
Cotton Clothing,April,Spring
Sunglasses,April,Spring
Travel Accessories,April,Spring
