user_id,age,gender,location,income_level,favorite_categories,preferred_brands,price_sensitivity,avg_rating_given,purchase_frequency
0,56,F,metro,low,['Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562)'],[],high,4.036175917821871,medium
1,39,M,tier3,high,['OEM 170774 Bike Side Stand'],"['Pearstone', 'Transcend']",low,4.04157310987163,low
2,41,M,metro,medium,"['Amita Home Furnishing Cotton Floral Single Bedsh...', 'Beauty and Personal Care', ""Vishudh Printed Women's Straight Kurta""]",['SVT ADA COLLECTIONS'],medium,4.505682224524156,high
3,31,M,tier3,high,"['ABEEZ Boys, Men, Girls (Black, Pack of 1)', 'Mast & Harbour Gold Synthetic  Clutch', 'Ocean GP/Pyramid Glass (300 ml, Clear, Pack of 12)']","['Shadow Fax', 'Pearl', 'STREET LONDON']",low,3.7695474641152416,high
4,46,M,metro,medium,['SHOPOJ Multicolor Paper Sky Lantern (80 cm X 34 ...'],"['Happiness Is', 'Jacadi Paris', 'GoldNera']",medium,3.9439435435326544,low
5,36,F,tier1,low,['Speedwav 186879 Bajaj Pulsar 200 NS DTS-i LED In...'],[],high,3.034194096203965,medium
6,60,M,tier2,low,['Zevrr Sterling Silver Swarovski Zirconia Platinu...'],"['YugshaJewels', 'Shopernow', 'Advent Crafts', 'NEWLOOK']",high,3.316324655680742,low
7,46,M,tier3,low,['Style World Women Flats'],['ARB'],high,2.23543131770261,medium
8,25,M,tier3,low,"['Corcepts Universal Tablet HD Ultra Clear Transpa...', ""TIMBERLAKE Slim Fit Fit Women's Red Jeans""]",[],high,3.640330913461129,medium
9,30,M,tier3,medium,"[""Legmark Slim Fit Women's Blue Jeans"", 'Boreal Roller Brush']","['MSC', 'Love More', 'Kleio']",medium,3.7776530177602217,medium
10,22,F,metro,medium,"['GM Power mate 4 Strip Surge Protector (White)', 'Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...']",[],medium,3.5694878206508887,high
11,57,M,metro,high,"['SHOPOJ Purple Paper Sky Lantern (80 cm X 34 cm, ...', 'Furniture']",[],low,3.593131382312539,medium
12,37,F,tier1,high,"['Cellbazaar Blackberry 8520 WHITE LCD LCD (YIT-562)', ""Kombee Girl's Printed Red, Pink Top & Capri Set"", ""Ruhi's Creations Cotton Cartoon King sized Doubl...""]","['SG', 'Made In China', 'Anamis']",low,4.2955095210236065,medium
13,35,M,tier2,medium,"['REMSON INDIA Women Flats', 'Urban Girl Foundation Brush (Pack of 7)']","['Volaliva', ""Victoria's Secret"", 'Woodino Handicrafts']",medium,4.708103460703513,medium
14,56,F,metro,low,"['SHOPOJ Yellow Paper Sky Lantern (80 cm X 34 cm, ...', 'Eternal Gandhi Super Series Crystal Paper Weight...', 'BuildTrack PIR Wireless Motion Sensor - One Swit...']","['IWS', 'Coffee', 'KA', 'Oral Care', 'Pumpkin Patch']",high,2.032099127083438,low
15,31,F,tier1,low,"['Power Smart Quick Charging Pack For PAN CGR-DU-2...', 'Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...', ""BLM Casual Printed Women's Kurti""]",['SKOOKIE'],high,3.9253855976393908,low
16,23,M,tier1,medium,"[""Yo Baby Girl's Trousers"", 'Small Toes Bellies', ""United Colors of Benetton Girl's Trousers""]",[],medium,2.1137178966445203,high
17,29,M,metro,medium,['JUSF2 Black Color Hair Band (Multicolor)'],"['Threads & Pals', 'SoleThreads', 'Aria', 'CraftGhar']",medium,3.0871188488225587,low
18,21,M,tier2,medium,"['ABEEZ Boys, Men, Girls (Black, Pack of 1)', 'Pout Brass Bangle', 'THERISE MD0005 Wired Headset (Pink)']","['Laviva', 'BMS', 'SKIN']",medium,2.9823424428744816,low
19,23,M,tier1,high,"[""Pazel Slim Fit Men's Jeans"", 'SHOPOJ Purple Paper Sky Lantern (80 cm X 34 cm, ...']",[],low,3.1951136878558595,medium
20,51,F,tier1,low,"['Just Wow Women Flats', ""Breakbounce Men's Vest""]","['CREEDS', 'MeeMee', 'NILE BLUE', 'Youshine']",high,3.4661888682342057,low
21,21,M,metro,low,"[""Nine Maternity Wear Women's Fit and Flare Dress"", 'SJ Comet Zoom DPSI Binoculars (30 mm, Black)']",['Mickey And Friends'],high,3.263174963410745,medium
22,58,M,tier2,low,['Jazz Eyewears Over-sized Sunglasses'],[],high,3.034542624974179,high
23,60,M,metro,low,"[""Clovia Women's Plunge Bra""]","['Ocean Free', 'Unknown']",high,2.914819655997121,low
24,35,M,tier2,medium,"[""BLM Casual Printed Women's Kurti"", ""Fly U Slim Fit Fit Women's Brown Jeans"", 'Olvin Aviator Sunglasses']","['ezyPRNT', 'DENIM CAFE', 'Jums', 'LUXANTRA']",medium,3.148461078824562,medium
25,23,F,tier1,medium,['Speedwav 186926 Royal Enfield 350 Twin Spark LED...'],"['Jss Exports', 'Ezone', 'Made In China', 'i-KitPit', 'England']",medium,4.415363604961728,high
26,24,M,metro,medium,"[""Indistar Self Design Viscose Women's Stole"", ""Auraa Men's, Women's Solid No Show Socks""]","['Schick', 'Capturing Happiness', 'Shivam']",medium,3.7717488812589117,high
27,34,M,tier3,medium,['ANAND ARCHIES Girls Wedges'],"['Star Wars', 'Agnihotra Creations', 'RIPR', 'ELEGANZE DECOR']",medium,3.9615259292768137,low
28,35,F,tier2,low,"['Watches', ""Fly U Slim Fit Fit Women's Brown Jeans"", 'Olvin Rectangular Sunglasses']","['STYLE CLUES FASHION', 'Saviour', 'GENERIC', 'GoMerryKids', 'Emartbuy']",high,4.644528185525612,low
29,64,F,tier3,medium,"[""Camey Men's Quarter Length Socks"", ""883 Police Full Sleeve Solid Men's Jacket"", 'Gking Hand Stiched Steering Cover For Maruti Ert...']",[],medium,4.331262993834195,high
30,57,M,tier1,medium,"[""UFO Full Sleeve Solid Girl's Jacket""]",[],medium,3.6123899961948567,low
31,40,F,tier1,low,['Rasav Jewels Yellow Gold Diamond 18 K Ring'],"['Joy Living', 'Uma']",high,2.9422044110270704,high
